Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Protected Method,"ProgettoBirra.FormGestioneUtente.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,0,,,,8,,,1,3,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,3,1,0,,,,,0,,1,0,,,0.00,2,2,3,1
Public Constructor,"ProgettoBirra.FormGestioneUtente.FormGestioneUtente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,0,0,6,1,0,4,5,1,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"ProgettoBirra.FormGestioneUtente.InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,116,,,,5,,,,84,,,1,81,27,,,,0,0,12,1,0,81,82,1,,,81,,,1,1,1,1,0,,,,,0,,0,0,,,0.32,1,1,1,1
Private Method,"ProgettoBirra.FormGestioneUtente.buttonEliminaUtente_Click",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,,,1,,,,18,,,1,11,0,,,,0,0,8,2,0,9,11,1,,,10,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,"ProgettoBirra.FormGestioneUtente.buttonSalva_Click",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,0,,,,9,,,1,4,0,,,,0,0,3,2,0,3,5,1,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,"ProgettoBirra.FormGestioneUtente.checkBoxPassword_CheckedChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,0,,,,11,,,1,4,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Class,"ProgettoBirra.FormListaSpesa",1,1,1,1,18,0,15,3,1,15,11,0,,0,0,,,,4,5,0,5,0,0,0,4,13,0,2,1,0,1,0,0,,103,,,,7,,,,71,,,11,45,23,,,,0,2,,,,49,57,12,,,45,,,,,,,,2,2,3,1,,1,1,,65,50,0.32,6,6,7,4
Protected Method,"ProgettoBirra.FormListaSpesa.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,0,,,,8,,,1,3,0,,,,0,0,1,2,0,2,4,1,,,3,,,2,2,3,1,0,,,,,0,,1,0,,,0.00,2,2,3,1
Public Constructor,"ProgettoBirra.FormListaSpesa.FormListaSpesa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,,,,0,,,,11,,,1,6,0,,,,0,0,9,2,0,7,9,2,,,7,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,"ProgettoBirra.FormListaSpesa.InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,49,,,,1,,,,36,,,1,33,12,,,,0,0,7,1,0,33,34,1,,,33,,,1,1,1,1,0,,,,,0,,0,0,,,0.33,1,1,1,1
Private Method,"ProgettoBirra.FormListaSpesa.buttonSpesa_Click",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,1,2,0,,,,0,0,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
